id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
104,-121.7827596,39.60925335,-121.7802596,39.60675335,1,0,0,0,0,0,4113.518845,3727.48617,3604.547872,4014.430699,1
105,-121.7827596,39.60675335,-121.7802596,39.60425335,1,0,0,0,0,0,4041.551672,3524.57538,3057.00152,3507.863374,0
106,-121.7827596,39.60425335,-121.7802596,39.60175335,1,0,0,0,0,0,3785.413374,3165.932979,2539.520517,3517.427812,0
107,-121.7827596,39.60175335,-121.7802596,39.59925335,1,0,0,0,0,0,3672.274924,3046.611702,2309.792401,3462.92386,0
108,-121.7827596,39.59925335,-121.7802596,39.59675335,1,0,0,0,0,0,3785.413374,3165.932979,2539.520517,3517.427812,0
109,-121.7827596,39.59675335,-121.7802596,39.59425335,1,0,0,0,0,0,5092.153951,4762.396505,4548.017629,3869.634043,0
110,-121.7827596,39.59425335,-121.7802596,39.59175335,1,0,0,0,0,0,4741.070226,4423.713083,4264.878647,3814.194286,0
111,-121.7827596,39.59175335,-121.7802596,39.58925335,1,0,0,0,0,0,5092.153951,4762.396505,4548.017629,3869.634043,0
112,-121.7802596,39.86675335,-121.7777596,39.86425335,1,0,0,0,0,0,3569.539058,2935.716717,2415.261398,3704.458967,0
113,-121.7802596,39.86425335,-121.7777596,39.86175335,1,0,0,0,0,0,3392.223308,2668.605414,2001.999398,3339.179699,0
114,-121.7802596,39.86175335,-121.7777596,39.85925335,1,0,0,0,0,0,3321.671581,2573.048784,1991.311854,3053.650912,0
115,-121.7802596,39.85925335,-121.7777596,39.85675335,1,0,0,0,0,0,3567.596049,2964.952432,2700.365502,3401.13465,1
116,-121.7802596,39.85675335,-121.7777596,39.85425335,1,0,0,0,0,0,3565.781611,2989.518389,2699.592705,3596.297416,1
117,-121.7802596,39.85425335,-121.7777596,39.85175335,1,0,0,0,0,0,3705.462918,3159.689514,2827.794073,3808.441793,0
118,-121.7802596,39.85175335,-121.7777596,39.84925335,1,0,0,0,0,0,3882.964438,3415.430091,3040.08997,4429.706231,0
119,-121.7802596,39.84925335,-121.7777596,39.84675335,1,0,0,0,0,0,3609.58997,2998.979483,2427.724772,3543.087538,0
120,-121.7802596,39.84675335,-121.7777596,39.84425335,1,0,0,0,0,0,3629.997264,2983.028116,2555.127964,3033.162918,0
121,-121.7802596,39.84425335,-121.7777596,39.84175335,0,0,0,0,0,0,3947.496657,3476.159119,3252.546201,3746.273556,0
122,-121.7802596,39.84175335,-121.7777596,39.83925335,0,0,0,0,0,0,3835.897872,3314.37462,2935.823708,3958.922796,0
123,-121.7802596,39.83925335,-121.7777596,39.83675335,0,0,0,0,0,0,3460.502857,2672.416692,2087.381955,2747.517744,0
124,-121.7802596,39.83675335,-121.7777596,39.83425335,0,0,0,0,0,0,3683.676748,3030.039362,2578.118389,3333.770517,0
125,-121.7802596,39.83425335,-121.7777596,39.83175335,1,0,0,0,0,0,3605.833891,2914.673708,2406.510334,3159.191793,0
126,-121.7802596,39.83175335,-121.7777596,39.82925335,1,0,0,0,0,0,3813.414742,3227.493465,2910.300456,3523.360942,0
127,-121.7802596,39.82925335,-121.7777596,39.82675335,2,0,0,0,0,0,3975.312006,3496.141793,3400.295593,3896.930547,1
128,-121.7802596,39.82675335,-121.7777596,39.82425335,2,0,0,0,0,0,4122.537082,3738.559726,3780.621277,4190.021884,1
129,-121.7802596,39.82425335,-121.7777596,39.82175335,1,0,0,0,0,0,4127.33617,3720.030699,3726.706079,4143.408967,1
130,-121.7802596,39.82175335,-121.7777596,39.81925335,1,0,0,0,0,0,3725.815198,3072.635866,2782.391033,3237.836018,0
131,-121.7802596,39.81925335,-121.7777596,39.81675335,1,0,0,0,0,0,3476.396657,2678.374924,2167.007143,2537.76307,0
