id,band1_norm,band2_norm,band3_norm,band4_norm
16460,0.411637283,0.296744839,0.204887208,0.331882612
16461,0.413907673,0.299461004,0.208492107,0.33738532
16462,0.399378265,0.277315035,0.186358595,0.27014023
16463,0.399069641,0.291332478,0.190485569,0.287267166
16464,0.412637091,0.305369003,0.219390229,0.292588197
16465,0.41203347,0.31108234,0.210086243,0.439493536
16466,0.429177302,0.322004005,0.220348544,0.443683366
16467,0.433824237,0.321431768,0.204583647,0.481441091
16468,0.443789487,0.324410824,0.197398285,0.488268645
16469,0.449523606,0.332879178,0.206763449,0.51359388
16470,0.454872664,0.339383335,0.218085238,0.476483699
16471,0.453543003,0.335126851,0.208927679,0.515672392
16472,0.453860196,0.332598407,0.20004365,0.525741974
16473,0.456486854,0.333566903,0.201019766,0.532948582
16474,0.468601339,0.353877694,0.228378834,0.547121022
16475,0.47128564,0.355851702,0.229568892,0.527487683
16476,0.470109363,0.344698514,0.224191366,0.485401254
16477,0.465982786,0.333305167,0.214566013,0.460216642
16478,0.476526214,0.359858531,0.227201143,0.595637774
16479,0.476880894,0.363155426,0.223933899,0.598042835
16480,0.484978116,0.372253436,0.237985237,0.588998919
16481,0.483448735,0.366592266,0.23718013,0.55003201
16482,0.477979863,0.361716612,0.229029276,0.540454538
16483,0.466849821,0.339359969,0.208061461,0.477312769
16484,0.460073815,0.32103986,0.194303435,0.394876454
16485,0.474880994,0.341595227,0.220470766,0.423231757
16486,0.511526666,0.407220893,0.268455168,0.731763325
16487,0.496660276,0.378673511,0.239387847,0.716046376
16488,0.506781803,0.378763113,0.266601438,0.550385379
16489,0.535803433,0.415896646,0.310971548,0.599477446
16490,0.536465554,0.407768129,0.306783252,0.362139727
16491,0.473175303,0.325633613,0.200837074,0.417156283
16492,0.458626437,0.30260378,0.177169211,0.315083648
16493,0.465832228,0.321255724,0.191112733,0.381429856
16494,0.506405951,0.381284091,0.267818286,0.477408355
16495,0.511863582,0.386010513,0.28424924,0.475595638
16496,0.562071006,0.458022353,0.358831199,0.645715755
16497,0.542039862,0.432582521,0.315981294,0.659341687
16498,0.525285543,0.412824889,0.288430156,0.644767594
16499,0.572834472,0.462968769,0.348043284,0.587193204
16500,0.58064967,0.45526296,0.347689981,0.42299754
16501,0.497703002,0.349058447,0.233709781,0.401567165
16502,0.565666602,0.456536723,0.346497493,0.714619538
16503,0.602720416,0.495261178,0.366095517,0.374242749
16504,0.486671196,0.324497576,0.210062391,0.270414356
16505,0.491293992,0.335258746,0.234113836,0.291473163
16506,0.482611869,0.329131326,0.229898917,0.264630522
16507,0.45047852,0.282304672,0.173035742,0.17223492
16508,0.52764406,0.392305279,0.31233282,0.31632398
16509,0.610073385,0.483483476,0.418248127,0.400350803
16510,0.561250571,0.430706551,0.36182238,0.366658147
16511,0.561694094,0.43603794,0.364054745,0.401177311
16512,0.507895269,0.378711123,0.276940729,0.460782629
16513,0.486718172,0.342271531,0.228419427,0.401763506
16514,0.489615489,0.333915259,0.237748414,0.293947431
16515,0.507362786,0.357866347,0.269648186,0.291847491
16516,0.521874085,0.392994432,0.302202507,0.445167958
16517,0.493926481,0.360007211,0.253854953,0.446625605
16518,0.500554254,0.368995248,0.264954566,0.421098183
16519,0.503233404,0.369897989,0.271094724,0.411965071
